,id,task,dataset,description,mirror_url
0,question-generation-on-squad11,question-generation,squad1-1,,
1,generalized-zero-shot-learning-on-imagenet,generalized-zero-shot-learning,imagenet,,
2,zero-shot-transfer-image-classification-on-1,zero-shot-transfer-image-classification,imagenet,,
3,weakly-supervised-object-detection-on,weakly-supervised-object-detection,imagenet,,
4,natural-language-inference-on-multinli,natural-language-inference,multinli,,
5,zero-shot-cross-lingual-document-8,zero-shot-cross-lingual-document,cross-lingual-sentiment-cls-english-to-2,,
6,3d-object-detection-on-kitti-cyclist-moderate,3d-object-detection,kitti-cyclist-moderate-val,,
7,face-recognition-on-mfr,face-recognition,mfr,,
8,re-ranking-on-askubuntu,re-ranking,askubuntu,,
9,natural-language-inference-on-quora-question,natural-language-inference,quora-question-pairs,,
10,automatic-speech-recognition-on-m-ailabs,automatic-speech-recognition,m-ailabs-speech-dataset,,
11,question-answering-on-torque,question-answering,torque,,
12,image-classification-on-oxford-iiit-pets,image-classification,oxford-iiit-pets,,
13,kg-to-text-generation-on-wikigraphs,kg-to-text,wikigraphs,,
14,question-answering-on-hybridqa,question-answering,hybridqa,,
15,incremental-learning-on-cifar100b050s,incremental-learning,cifar100b050s-2classesperstep,,
16,speech-recognition-on-common-voice-8-0-24,speech-recognition,common-voice-8-0-slovenian,,
17,unsupervised-reinforcement-learning-on-urlb,unsupervised-reinforcement-learning,urlb-states-10-5-frames,,
18,citation-recommendation-on-microsoft-academic,citation-recommendation,microsoft-academic-graph-citation-contexts,,
19,speech-recognition-on-common-voice-7-0-sakha,speech-recognition,common-voice-7-0-sakha,,
20,speech-recognition-on-common-voice-7-0-9,speech-recognition,common-voice-7-0-armenian,,
21,speech-recognition-on-common-voice-8-0-12,speech-recognition,common-voice-8-0-latvian,,
22,interpretable-machine-learning-on-skin-cancer,interpretable-machine-learning,skin-cancer,,
23,speech-recognition-on-common-voice-8-0-uyghur,speech-recognition,common-voice-8-0-uyghur,,
24,speech-recognition-on-common-voice-7-0-15,speech-recognition,common-voice-7-0-hungarian,,
25,token-classification-on-harem,token-classification,harem,,
26,face-detection-on-wider-face-1,face-detection,wider-face-1,,
27,link-prediction-on-gene-disease-interactions,link-prediction,gene-disease-interactions,,
28,speech-synthesis-odia-on-indictts,speech-synthesis-odia,indictts,,
29,speech-synthesis-gujarati-on-indictts,speech-synthesis-gujarati,indictts,,
30,natural-language-inference-on-rte,natural-language-inference,rte,,
31,token-classification-on-tner-ttc,token-classification,tner-ttc,,
32,zero-shot-human-object-interaction-detection,zero-shot-human-object-interaction-detection,hico-det,,
33,multi-modal-dialogue-generation-on-openvidial,multi-modal-dialogue-generation,openvidial-2-0,,
34,dialogue-evaluation-on-usr-topicalchat,dialogue-evaluation,usr-topicalchat,,
35,zero-shot-learning-on-winogrande,zero-shot-learning,winogrande-1,,
36,domain-generalization-on-imagenet-r,domain-generalization,imagenet-r,,
37,handwritten-text-recognition-on-hkr,handwritten-text-recognition,hkr,,
38,class-agnostic-object-detection-on-comic2k,class-agnostic-object-detection,comic2k,,
39,reinforcement-learning-on-walker2d-v3,reinforcement-learning-1,walker2d-v3,,
40,video-prediction-on-kth-64x64-cond10-pred30,video-prediction,kth-64x64-cond10-pred30,,
41,no-real-data-binarization-on-dibco-and-h-1,no-real-data-binarization,dibco-and-h-dibco-2011,,
42,code-generation-on-humaneval-1,code-generation,humaneval-1,,
43,translation-eng-lav-on-newstest2017,translation-eng-lav,newstest2017,,
44,translation-eng-fra-on-newstest2014,translation-eng-fra,newstest2014,,
45,face-alignment-on-wflw,face-alignment,wflw,,
46,open-domain-question-answering-on-searchqa,open-domain-question-answering,searchqa,,
47,question-answering-on-mrqa-2019,question-answering,mrqa-2019,,
48,language-identification-on-opensubtitles,language-identification,opensubtitles,,
49,question-answering-on-casehold,question-answering,casehold,,
50,node-classification-on-non-homophilic-10,node-classification-on-non-homophilic,film-48-32-20-fixed-splits,,
51,sketch-to-image-translation-on-sketchycoco,sketch-to-image-translation,sketchycoco,,
52,jpeg-artifact-correction-on-bsds500-quality-4,jpeg-artifact-correction,bsds500-quality-20-grayscale,,
53,entity-linking-on-rare-diseases-mentions-in,entity-linking,rare-diseases-mentions-in-mimic-iii-text-to,,
54,adroid-hammer-cloned-on-d4rl,adroid-hammer-cloned,d4rl,,
55,translation-srp-latn-ukr-on-tatoeba-test,translation-srp-latn-ukr,tatoeba-test-v2021-08-07,,
56,text-to-speech-synthesis-on-thorsten-voice-21,text-to-speech-synthesis,thorsten-voice-21-02-neutral,,
57,speech-recognition-on-common-voice-8-0-greek,speech-recognition,common-voice-8-0-greek,,
58,adroid-pen-human-on-d4rl,adroid-pen-human,d4rl,,
59,headline-generation-on-headgen-it,headline-generation,headgen-it,,
60,adroid-pen-human-on-d4rl,adroid-pen-human,d4rl,,
61,visual-question-answering-on-coco-visual-2,visual-question-answering,coco-visual-question-answering-vqa-abstract,,
62,dialogue-state-tracking-on-second-dialogue,dialogue-state-tracking,second-dialogue-state-tracking-challenge,,
63,multiple-choice-on-swag,multiple-choice,swag,,
64,question-answering-on-squad-1,question-answering,squad,,
65,person-re-identification-on-msmt17-c,person-re-identification,msmt17-c,,
66,action-classification-on-toyota-smarthome,action-classification,toyota-smarthome-dataset,,
67,cross-device-asr-on-libri-adapt,cross-device-asr,libri-adapt,,
68,rgb-salient-object-detection-on-davis-s,salient-object-detection,davis-s,,
69,face-alignment-on-aflw2000-3d,face-alignment,aflw2000-3d,,
70,3d-face-alignment-on-aflw2000-3d,3d-face-alignment,aflw2000-3d,,
71,image-super-resolution-on-div8k-test-16x,image-super-resolution,div8k-test-16x-upscaling,,
72,surgical-tool-detection-on-cholec80,surgical-tool-detection,cholec80,,
73,open-domain-question-answering-on,open-domain-question-answering,webquestions,,
74,speech-recognition-on-common-voice-8-0-14,speech-recognition,common-voice-8-0-italian,,
75,token-classification-on-article500v1-wikigold,token-classification,article500v1-wikigold-split,,
76,translation-deu-eng-on-tatoeba-test-v2021-08,translation-deu-eng,tatoeba-test-v2021-08-07,,
77,clustering-algorithms-evaluation-on-seeds,clustering-algorithms-evaluation,seeds,,
78,natural-language-inference-on-terra,natural-language-inference,terra,,
79,egocentric-activity-recognition-on-epic-1,egocentric-activity-recognition,epic-kitchens,,
80,dialogue-summary-on-samsum-corpus,dialogue-summary,samsum-corpus,,
81,scene-segmentation-on-streethazards,scene-segmentation,streethazards,,
82,object-tracking-on-visevent,object-tracking,visevent,,
83,3d-car-instance-understanding-on-apollocar3d,3d-car-instance-understanding,apollocar3d,,
84,smac-on-smac-off-near-parallel,smac-1,smac-off-near-parallel,,
85,math-word-problem-solving-on-alg514,math-word-problem-solving,alg514,,
86,cancer-type-classification-on-tcga,cancer-type-classification,tcga,,
87,action-recognition-in-videos-on-kinetics-600,action-recognition-in-videos-2,kinetics-600,,
88,polyp-segmentation-on-kvasir-seg,polyp-segmentation,kvasir-seg,,
89,action-recognition-in-videos-on-kinetics-600,action-recognition-in-videos-2,kinetics-600,,
90,clustering-algorithms-evaluation-on-pathbased,clustering-algorithms-evaluation,pathbased,,
91,semantic-segmentation-on-freiburg-forest,semantic-segmentation,freiburg-forest,,
92,deblurring-on-rsblur,deblurring,rsblur,,
93,stance-detection-us-election-2020-biden-on,stance-detection-us-election-2020-biden,twitter-stance-election-2020,,
94,few-shot-semantic-segmentation-on-pascal-5i-1,few-shot-image-segmentation,pascal-5i-1-shot,,
95,myocardial-infarction-detection-on-ptb-1,myocardial-infarction-detection,ptb,,
96,sentiment-analysis-on-amazon-review-full,sentiment-analysis,amazon-review-full,,
97,speech-separation-on-whamr,speech-separation,whamr,,
98,graph-classification-on-frankenstein,graph-classification,frankenstein,,
99,neural-network-compression-on-imagenet,neural-network-compression,imagenet,,
100,shadow-detection-on-sbu,shadow-detection,sbu,,
101,scene-text-recognition-on-svtp,scene-text-recognition,svtp,,
102,semantic-segmentation-on-apolloscape,semantic-segmentation,apolloscape-1,,
103,core-set-discovery-on-mozilla4,core-set-discovery,mozilla4,,
104,semantic-parsing-on-ucca-german-mrp-2020,semantic-parsing,ucca-german-mrp-2020,,
105,recommendation-systems-on-amazon-product-data,recommendation-systems,amazon-product-data,,
106,core-set-discovery-on-mozilla4,core-set-discovery,mozilla4,,
107,semantic-segmentation-on-atlantis,semantic-segmentation,atlantis,,
108,speaker-verification-on-voxceleb2,speaker-verification,voxceleb2,,
109,classification-on-biasbios,classification-1,biasbios,,
110,reinforcement-learning-on-pandapush-v1,reinforcement-learning-1,pandapush-v1,,
111,ad-hoc-video-search-on-trecvid-avs17-iacc-3,ad-hoc-video-search,trecvid-avs17-iacc-3,,
112,unsupervised-domain-adaptation-on-kitti-to,unsupervised-domain-adaptation,kitti-to-cityscapes,,
113,relation-extraction-on-muc6,relation-extraction,muc6,,
114,reinforcement-learning-on-atari-amidar,reinforcement-learning-1,atari-amidar,,
115,graph-classification-on-coil-rag,graph-classification,coil-rag,,
116,image-super-resolution-on-middlebury-2x,image-super-resolution,middlebury-2x-upscaling,,
117,conversational-response-selection-on-dstc7,conversational-response-selection,dstc7-ubuntu,,
118,translation-eng-ara-on-tatoeba-test-v2020-07,translation-eng-ara,tatoeba-test-v2020-07-28,,
119,translation-nob-glg-on-flores101-devtest,translation-nob-glg,flores101-devtest,,
120,visual-question-answering-on-tdiuc,visual-question-answering,tdiuc,,
121,emotion-recognition-in-conversation-on-ec,emotion-recognition-in-conversation,ec,,
122,translation-isl-dan-on-flores101-devtest,translation-isl-dan,flores101-devtest,,
123,translation-ara-ron-on-flores101-devtest,translation-ara-ron,flores101-devtest,,
124,translation-nob-dan-on-flores101-devtest,translation-nob-dan,flores101-devtest,,
125,translation-fas-ita-on-flores101-devtest,translation-fas-ita,flores101-devtest,,
126,translation-isl-glg-on-flores101-devtest,translation-isl-glg,flores101-devtest,,
